放牛班的春天,2004,1194737人评价
无间道,2002,1212255人评价
疯狂动物城,2016,1725601人评价
大话西游之大圣娶亲,1995,1401883人评价
熔炉,2011,853697人评价
控方证人,1957,460700人评价
教父,39,869502人评价
当幸福来敲门,2006,1391724人评价
触不可及,2011,973307人评价
怦然心动,2010,1667819人评价
龙猫,1988,1156221人评价
末代皇帝,1987,777974人评价
寻梦环游记,2017,1488005人评价
蝙蝠侠：黑暗骑士,2,963534人评价
活着,1994,750231人评价
哈利·波特与魔法石,39,1045921人评价
指环王3：王者无敌,2003,729137人评价
乱世佳人,1939,629652人评价
素媛,2013,617928人评价
飞屋环游记,2009,1209812人评价
摔跤吧！爸爸,3,1437574人评价
我不是药神,2018,1916899人评价
何以为家,2018,942856人评价
十二怒汉,12,433618人评价
哈尔的移动城堡,2004,916085人评价
少年派的奇幻漂流,2012,1244731人评价
鬼子来了,2000,563959人评价
大话西游之月光宝盒,101,1117847人评价
猫鼠游戏,2002,885322人评价
天空之城,1986,751078人评价
天堂电影院,1988,629476人评价
闻香识女人,1992,793742人评价
指环王2：双塔奇兵,2002,680790人评价
钢琴家,2002,547603人评价
让子弹飞,2010,1519911人评价
罗马假日,1953,877072人评价
海蒂和爷爷,2015,491463人评价
指环王1：护戒使者,1,769370人评价
黑客帝国,22,766112人评价
大闹天宫,1961,386220人评价
教父2,1974,492570人评价
死亡诗社,1989,641088人评价
辩护人,2013,542484人评价
狮子王,3,758213人评价
绿皮书,2018,1464255人评价
搏击俱乐部,1999,774021人评价
饮食男女,1994,553955人评价
美丽心灵,2001,699876人评价
本杰明·巴顿奇事,2008,898897人评价
窃听风暴,2006,513195人评价
情书,1995,980048人评价
穿条纹睡衣的男孩,2008,496013人评价
两杆大烟枪,1998,547564人评价
西西里的美丽传说,2000,889860人评价
看不见的客人,2016,1134562人评价
拯救大兵瑞恩,1998,590167人评价
音乐之声,1965,545917人评价
飞越疯人院,39,508554人评价
小鞋子,1997,371419人评价
阿凡达,2009,1265394人评价
哈利·波特与死亡圣器(下),2,739824人评价
沉默的羔羊,1991,797045人评价
海豚湾,2009,335781人评价
致命魔术,2006,781945人评价
禁闭岛,2010,877264人评价
布达佩斯大饭店,2014,831147人评价
蝴蝶效应,2004,852031人评价
美国往事,1984,376301人评价
心灵捕手,1997,643968人评价
低俗小说,1994,756996人评价
春光乍泄,1997,571770人评价
摩登时代,1936,269460人评价
七宗罪,7,870917人评价
喜剧之王,1999,877002人评价
致命ID,2003,739232人评价
杀人回忆,2003,631072人评价
功夫,3,979387人评价
哈利·波特与阿兹卡班的囚徒,3,628172人评价
超脱,2011,500292人评价
加勒比海盗,1,784064人评价
被嫌弃的松子的一生,2006,652802人评价
红辣椒,2006,402292人评价
狩猎,2012,346564人评价
请以你的名字呼唤我,2017,644897人评价
7号房的礼物,7,501507人评价
剪刀手爱德华,1990,967643人评价
勇敢的心,1995,525679人评价
断背山,2005,653807人评价
唐伯虎点秋香,1993,970647人评价
入殓师,2008,603752人评价
第六感,1999,504820人评价
天使爱美丽,39,905609人评价
哈利·波特与密室,2,654335人评价
重庆森林,1994,728813人评价
爱在黎明破晓前,1995,599510人评价
一一,2000,334851人评价
幽灵公主,1997,479675人评价
蝙蝠侠：黑暗骑士崛起,3,656468人评价
小森林 夏秋篇,2014,387942人评价
阳光灿烂的日子,1994,561068人评价
菊次郎的夏天,1999,535656人评价
超能陆战队,6,919246人评价
完美的世界,1993,278061人评价
无人知晓,2004,283051人评价
消失的爱人,2014,840035人评价
爱在日落黄昏时,2004,494116人评价
小森林 冬春篇,2015,347061人评价
借东西的小人阿莉埃蒂,2010,498359人评价
倩女幽魂,87,668518人评价
甜蜜蜜,1996,475713人评价
侧耳倾听,1995,418398人评价
幸福终点站,2004,511051人评价
时空恋旅人,2013,584719人评价
驯龙高手,2010,690715人评价
萤火之森,2011,478210人评价
玛丽和马克思,2009,395741人评价
怪兽电力公司,2001,602672人评价
教父3,1990,331818人评价
一个叫欧维的男人决定去死,2015,409977人评价
大鱼,2003,523227人评价
告白,2010,624586人评价
玩具总动员3,3,463356人评价
傲慢与偏见,2005,718024人评价
